team name          	 NM1    	 NM2    	 NM3    	 NM4    	 HD1    	 HD2    	 HR1    	 HR2    	 DT1    	 DT2    	 Seed	 NM Seed	 HD Seed	 HR Seed	 DT Seed	 NM1	 NM2	 NM3	 NM4	 HD1	 HD2	 HR1	 HR2	 DT1	 DT2
NVM                	  909723	  832861	  479238	  653212	  987524	  501333	 1319065	  620928	 1007309	  279487	   49	      53	      51	      35	      58	  36	  41	  67	  48	  42	  62	  18	  45	  45	  79
alfiu              	  375344	  329221	  322864	  268324	  483713	  190467	  374987	  157168	  211421	  153951	   96	      95	      90	      95	      95	  96	  86	  87	  96	  90	  91	  95	  92	  94	  94
PengFrogTedotter   	  863706	  608288	  788238	  572205	  878453	  533929	  911929	  504491	  957378	  590250	   55	      54	      56	      61	      49	  42	  71	  29	  64	  60	  53	  57	  61	  49	  47
Pochki Otkazali    	  532950	 1101245	  534734	  504710	  761127	  271157	  499600	  155979	  526285	  302033	   77	      61	      79	      93	      77	  89	  22	  61	  71	  71	  82	  90	  93	  76	  76
Quantum Rizzics    	  536974	  500035	  351734	  381515	  582243	  195069	  687323	  309953	  371562	  273187	   83	      80	      86	      79	      85	  88	  75	  81	  86	  87	  90	  78	  80	  86	  81
Red_pixel          	 1101766	 1584726	 1002233	 1134218	 1807155	 1592047	 2124896	 1202466	 1520666	  901185	    4	       7	       2	       1	      18	  17	   3	  15	   6	   3	   3	   1	   8	  16	  24
Reginald           	 1201462	 1477251	  888239	  934341	 1755159	 1102704	 1640982	 1606188	 2287403	 1143098	    3	      11	       5	       2	       2	  13	   5	  24	  13	   4	  11	   7	   1	   2	  11
Searching for Food 	  581103	  484386	  329773	  505232	  824430	  520717	  675426	  349001	  685182	  371321	   75	      78	      64	      78	      72	  82	  78	  84	  70	  66	  56	  79	  77	  66	  67
Seed 63            	  894106	  494920	  539852	  639281	  620180	  601421	 1011845	  595327	  629208	  644904	   60	      66	      69	      55	      59	  38	  76	  60	  53	  80	  45	  51	  52	  69	  41
ShrineMaidenSlaya  	 1349334	  855299	  899663	  759547	 1205973	  572169	 1183552	 1101855	 1596486	  840843	   19	      19	      34	      18	      15	   6	  39	  22	  32	  25	  49	  32	  12	  10	  29
Kehest             	  862583	  716283	  729288	  629189	  761572	  366176	 1294704	  507451	  925310	  325546	   56	      48	      76	      41	      61	  43	  56	  36	  56	  70	  71	  21	  60	  53	  72
Sputnik Temple     	  676079	  542285	  531271	  576294	 1099642	  457873	  702763	  438406	  551541	  324074	   70	      68	      47	      71	      75	  70	  72	  63	  62	  34	  68	  77	  68	  75	  73
Sqwod              	  495103	  356788	  292260	  435604	  473643	  259532	  512508	  136617	  888520	  274988	   86	      87	      89	      94	      66	  92	  83	  91	  77	  91	  85	  88	  95	  55	  80
shiyumi            	  747671	  509461	  457369	  556227	  945126	  724158	  817109	  638815	  470019	  386752	   67	      71	      41	      60	      76	  61	  74	  73	  65	  49	  30	  63	  42	  79	  66
Suwako Moriya      	 1260245	  946907	 1173086	  677889	 1321047	  765991	  829975	 1110596	  782218	  469491	   31	      17	      21	      34	      60	  11	  34	   7	  42	  16	  26	  62	  10	  63	  57
misha awa          	  762679	  324254	  333350	  529324	  684815	  543563	  643360	  278914	  467027	  211082	   78	      77	      68	      82	      81	  58	  87	  83	  68	  74	  52	  82	  83	  80	  87
The 4 forensics    	  952634	  698158	  543293	  756477	  917798	  728899	 1228906	 1228414	 1092377	  617265	   40	      47	      42	      14	      41	  31	  58	  59	  33	  53	  28	  29	   7	  39	  45
MidC               	   35721	   43806	   37177	   27845	   30899	   24031	   50037	   20247	   29119	   44438	   26	     101	     101	     100	     100	 101	 100	 101	 101	 101	 101	 100	 100	 100	 100
The Tuohuo         	  952565	 1430169	  949294	  773912	 1019155	  820150	 1290751	  470015	 1026241	  575270	   35	      16	      29	      44	      47	  32	   7	  19	  30	  41	  23	  22	  66	  43	  49
_Nooshi            	  546461	  167418	  150400	  387864	  375961	   67087	  519654	  274542	  277853	  115986	   95	      96	      96	      88	      93	  87	  98	  97	  84	  93	  98	  87	  85	  89	  97
UOOGGGHHHH MARISAA 	  847329	  798928	  359232	  536959	  828918	  695516	 1046313	  661070	  621684	  858919	   51	      67	      50	      47	      51	  44	  45	  80	  67	  65	  35	  50	  40	  71	  26
UPRPRC             	 1009803	  641239	  940801	  790836	 1134234	 1496918	 1063256	  896511	 1385019	  942963	   22	      35	       8	      33	      24	  25	  68	  20	  28	  29	   4	  47	  24	  23	  22
Uprankers          	  731118	  648661	  684133	  853775	 1521086	  516563	 1184802	 1136739	 1246936	  845631	   33	      49	      25	      16	      31	  64	  67	  44	  20	   8	  57	  31	   9	  30	  28
admirateurs2Nos_If 	  813046	  687359	  775602	  719101	  865357	  477772	  988255	  748914	 1052482	  475713	   48	      46	      65	      45	      50	  52	  60	  30	  37	  63	  66	  52	  35	  42	  55
-lion              	  906674	  991731	 1022825	  670872	 1296887	  610494	 1058096	  601643	 1202643	 1227712	   29	      28	      28	      50	      16	  37	  30	  14	  45	  18	  44	  49	  50	  33	   9
